Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) cht1,Coverage (%) cht2,Coverage (%) cht3,Coverage (%) cht4,Coverage (%) cht5,Coverage (%) cht6,Coverage (%) cht7,Coverage (%) cht8,Coverage (%) cht9,Coverage (%) cht10,Coverage (%) el1,Coverage (%) el2,Coverage (%) el3,Coverage (%) el4,Coverage (%) el5,Coverage (%) el6,Coverage (%) el7,Coverage (%) el8,Coverage (%) el9,Coverage (%) el10,Coverage (%) lp1,Coverage (%) lp2,Coverage (%) lp3,Coverage (%) lp4,Coverage (%) lp5,Coverage (%) lp6,Coverage (%) lp7,Coverage (%) lp8,Coverage (%) lp9,Coverage (%) lp10,Coverage (%) trp1,Coverage (%) trp2,Coverage (%) trp3,Coverage (%) trp4,Coverage (%) trp5,Coverage (%) trp6,Coverage (%) trp7,Coverage (%) trp8,Coverage (%) trp9,Coverage (%) trp10,Area cht1,Area cht2,Area cht3,Area cht4,Area cht5,Area cht6,Area cht7,Area cht8,Area cht9,Area cht10,Area el1,Area el2,Area el3,Area el4,Area el5,Area el6,Area el7,Area el8,Area el9,Area el10,Area lp1,Area lp2,Area lp3,Area lp4,Area lp5,Area lp6,Area lp7,Area lp8,Area lp9,Area lp10,Area trp1,Area trp2,Area trp3,Area trp4,Area trp5,Area trp6,Area trp7,Area trp8,Area trp9,Area trp10,#Peptides,#Unique,#Spec cht1,#Spec cht2,#Spec cht3,#Spec cht4,#Spec cht5,#Spec cht6,#Spec cht7,#Spec cht8,#Spec cht9,#Spec cht10,#Spec el1,#Spec el2,#Spec el3,#Spec el4,#Spec el5,#Spec el6,#Spec el7,#Spec el8,#Spec el9,#Spec el10,#Spec lp1,#Spec lp2,#Spec lp3,#Spec lp4,#Spec lp5,#Spec lp6,#Spec lp7,#Spec lp8,#Spec lp9,#Spec lp10,#Spec trp1,#Spec trp2,#Spec trp3,#Spec trp4,#Spec trp5,#Spec trp6,#Spec trp7,#Spec trp8,#Spec trp9,#Spec trp10,PTM,Avg. Mass,Description
2,7,Q09666|AHNK_HUMAN,404.88,67,2,3,3,3,3,4,4,3,4,3,4,6,6,6,5,5,11,6,19,20,28,31,30,30,35,34,29,28,37,21,47,50,49,45,48,43,46,48,54,53,1.1698E7,1.7361E7,1.345E7,1.1075E7,1.8506E7,1.8357E7,2.1383E7,1.8052E7,2.0374E7,2.1657E7,1.8009E7,3.0197E7,2.52E7,3.1159E7,2.5085E7,2.0936E7,9.3817E7,2.9371E7,3.2642E8,4.2342E8,1.8283E8,1.8169E8,2.1798E8,2.4711E8,3.1162E8,2.5941E8,2.0348E8,1.6895E8,3.1403E8,2.2346E8,6.3878E8,8.783E8,8.6515E8,7.0383E8,7.4935E8,4.0385E8,4.212E8,9.3526E8,1.1722E9,1.1401E9,779,779,11,15,16,16,19,21,18,18,20,17,22,31,30,34,28,23,61,31,105,124,151,161,161,168,198,182,159,139,200,136,292,330,309,295,316,245,267,310,356,349,,629114,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2
7,3,P10809|CH60_HUMAN,379.98,94,55,71,71,64,69,73,69,74,73,70,64,65,70,66,65,68,73,66,78,75,84,87,84,82,83,86,87,85,81,76,61,64,58,54,58,58,56,58,66,64,3.1019E8,4.0415E8,4.9015E8,4.746E8,5.3937E8,5.0635E8,4.7733E8,5.0331E8,5.3182E8,4.4602E8,6.5398E8,6.6508E8,7.8318E8,6.7483E8,7.1499E8,7.976E8,1.1345E9,8.095E8,2.505E9,3.1024E9,1.2094E9,1.1944E9,1.091E9,1.0558E9,1.2343E9,1.2258E9,1.0571E9,1.0697E9,9.443E8,7.1091E8,1.0747E9,1.4407E9,1.3537E9,1.1433E9,1.2133E9,7.1397E8,7.7935E8,1.4328E9,2.0072E9,1.7795E9,560,557,54,71,77,76,85,77,83,86,87,80,101,98,103,99,98,101,127,115,156,176,191,194,172,157,182,199,182,176,149,116,90,100,89,73,89,78,79,87,115,110,,61055,60 kDa heat shock protein  mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2
10,23,P11021|BIP_HUMAN,355.27,93,50,69,66,68,64,74,70,69,66,62,47,51,50,51,56,47,59,49,62,64,78,78,74,72,72,73,71,76,71,67,61,56,55,52,57,54,54,56,55,56,2.7315E8,3.7012E8,3.9374E8,3.8566E8,4.3824E8,4.4296E8,3.9897E8,3.7708E8,4.1941E8,3.5135E8,2.2522E8,2.9738E8,2.2872E8,2.4446E8,2.4977E8,2.3993E8,4.1292E8,2.6877E8,1.0115E9,1.1679E9,8.0358E8,6.9623E8,7.5925E8,8.4366E8,8.9208E8,8.1199E8,8.2785E8,6.9928E8,8.6636E8,7.0657E8,9.6518E8,1.2605E9,1.1675E9,1.0634E9,9.5485E8,5.7934E8,6.5613E8,1.311E9,1.4687E9,1.6208E9,427,391,45,59,62,61,63,68,70,72,70,61,46,59,49,54,60,45,70,53,93,103,161,152,154,151,156,162,153,141,145,118,91,89,84,77,82,72,75,87,89,91,,72333,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2
44,11,P06748|NPM_HUMAN,349.90,81,56,59,64,64,64,68,56,64,64,64,56,53,61,44,47,47,49,43,61,63,63,66,64,60,61,65,67,62,64,52,52,47,47,47,46,46,46,46,50,50,1.9469E8,2.7032E8,3.0806E8,2.8634E8,2.4125E8,3.251E8,2.1579E8,2.9848E8,2.6784E8,3.0009E8,2.2438E8,2.4218E8,2.5575E8,2.4911E8,2.7104E8,2.5025E8,3.4817E8,2.1084E8,1.0648E9,1.4969E9,3.4451E8,3.3653E8,3.7026E8,3.4259E8,3.9288E8,4.0379E8,3.8239E8,3.4877E8,3.6179E8,2.2142E8,5.4269E8,7.2703E8,5.7474E8,4.6861E8,6.1286E8,3.453E8,3.1226E8,7.3324E8,8.5534E8,9.8468E8,193,191,31,38,41,43,36,44,39,42,44,42,39,38,40,31,37,32,41,34,70,64,62,75,74,63,64,74,70,66,67,53,33,29,27,24,30,23,24,25,31,30,,32575,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2
3,254,Q99879|H2B1M_HUMAN,349.30,92,64,69,69,69,71,78,69,67,71,70,65,62,67,56,63,67,67,67,67,69,75,75,68,72,72,72,84,72,75,77,84,58,63,52,58,52,58,58,63,56,3.3831E6,3.074E6,3.2206E6,3.6588E6,4.3614E6,4.0182E6,4.2873E6,5.4791E6,4.9027E6,4.3091E6,,,,,,,,,,,,,,,,,1.5454E5,,,,1.1343E6,,,,,,,,,,290,2,71,83,85,94,95,100,99,98,99,98,84,68,76,56,68,96,105,95,136,141,243,249,253,213,258,251,225,240,180,136,76,81,76,88,86,67,80,66,117,90,,13989,Histone H2B type 1-M OS=Homo sapiens OX=9606 GN=H2BC14 PE=1 SV=3
4,272,P62807|H2B1C_HUMAN,349.18,92,56,69,60,60,71,63,69,73,71,61,65,62,67,56,63,67,67,67,67,69,75,75,68,72,72,72,75,72,75,77,75,58,63,52,58,52,58,58,63,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0,70,83,83,92,94,97,98,98,98,96,84,68,76,56,68,96,105,95,136,141,243,249,253,213,258,251,224,240,180,136,75,81,76,88,86,67,80,66,117,90,,13906,Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC4 PE=1 SV=4
5,246,Q16778|H2B2E_HUMAN,347.86,92,56,69,60,60,71,63,69,73,71,61,65,62,67,56,63,67,67,67,67,67,72,72,68,72,72,72,72,72,73,77,75,58,63,52,58,50,58,58,63,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,0,70,83,83,92,94,97,98,98,98,96,84,68,76,56,68,96,105,95,136,139,242,248,253,213,258,251,223,240,180,133,65,68,70,83,76,57,70,58,108,79,,13920,Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=H2BC21 PE=1 SV=3
11,14,P60709|ACTB_HUMAN,347.66,83,64,65,64,64,67,67,64,62,62,69,67,65,63,61,62,65,71,64,70,69,74,70,69,74,70,68,75,71,67,70,56,54,59,54,54,54,54,53,55,56,2.2953E7,4.1433E7,3.7252E7,3.9429E7,3.6322E7,4.3121E7,3.2301E7,3.2128E7,3.6959E7,3.9413E7,2.1339E7,1.8426E7,1.9157E7,1.5577E7,1.5234E7,1.9182E7,6.4155E7,2.5671E7,1.4487E8,1.0259E8,4.5955E7,1.8914E7,1.7011E7,3.0444E7,2.4134E7,3.8458E7,2.5788E7,1.7659E7,3.4548E7,2.051E7,3.9667E8,4.1803E8,4.2833E8,3.4101E8,3.6501E8,2.3964E8,2.568E8,4.4024E8,6.2318E8,7.0079E8,395,47,66,77,90,85,86,87,86,86,96,89,80,75,75,70,72,79,115,81,166,153,110,89,78,84,79,83,80,76,76,77,81,91,92,90,86,64,70,76,95,92,,41737,Actin  cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1
31,1,P22626|ROA2_HUMAN,346.87,99,57,63,60,67,65,76,69,62,65,70,49,51,59,55,57,57,61,53,61,65,67,65,68,64,59,64,67,64,63,60,67,68,59,63,61,60,57,61,66,73,1.3213E8,1.8363E8,2.0203E8,1.7293E8,2.2221E8,2.4563E8,1.7848E8,2.0797E8,2.4551E8,2.1552E8,1.9222E8,1.8999E8,2.2094E8,2.0708E8,2.2815E8,2.3529E8,2.4149E8,2.3915E8,6.0381E8,7.4002E8,2.4422E8,1.9987E8,2.8116E8,2.6806E8,2.8613E8,2.5946E8,2.8157E8,2.0265E8,2.6238E8,2.5168E8,3.3897E8,4.0054E8,3.6915E8,3.266E8,3.4285E8,1.9552E8,2.1675E8,4.2805E8,5.3802E8,5.887E8,236,191,39,52,51,43,55,60,55,54,62,55,35,37,44,42,49,44,50,46,64,72,71,76,84,74,73,75,76,63,75,59,60,59,56,51,56,51,47,57,62,66,,37430,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2
22,50,Q15149|PLEC_HUMAN,346.10,75,8,9,12,14,13,11,11,15,18,16,8,6,8,7,8,5,24,9,38,30,19,9,8,12,13,8,10,6,8,17,34,34,33,33,32,28,28,31,36,36,1.7699E7,2.3977E7,3.1224E7,3.2751E7,3.1068E7,2.5702E7,2.2539E7,3.7972E7,5.5304E7,4.1073E7,1.7216E7,1.44E7,1.7263E7,1.8642E7,2.1215E7,1.4157E7,1.4891E8,2.3876E7,6.5985E8,4.1241E8,4.8735E7,1.5011E7,1.5066E7,2.4939E7,3.0263E7,1.5675E7,1.901E7,1.1069E7,1.6911E7,6.7895E7,1.3643E8,1.5549E8,1.4539E8,1.2539E8,1.1802E8,6.5191E7,7.3745E7,1.6359E8,1.8203E8,1.9725E8,719,682,38,39,49,51,56,46,41,59,73,65,31,26,31,30,34,24,110,38,217,156,71,32,33,48,50,33,37,23,30,73,153,152,144,145,145,122,120,144,157,164,,531796,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3
